,description,disease,is_original
301,maumivu ya misuli,Malaria,True
302,clls,Malaria,False
303,cheells,Malaria,False
304,chills,Malaria,True
305,baridi kali,Malaria,True
306,varidi kaly,Malaria,False
307,vomiting,Malaria,True
308,vomiding,Malaria,False
309,kutaphika,Malaria,False
310,kutapika,Malaria,True
311,high faver,Malaria,False
312,high vever,Malaria,False
313,high fever,Malaria,True
314,high fhver,Malaria,False
315,homa kalee,Malaria,False
316,homa keli,Malaria,False
317,homa kali,Malaria,True
318,homaaa kali,Malaria,False
319,homaa kali,Malaria,False
320,headache,Malaria,True
321,headacadache,Malaria,False
322,maumivu ya kychwa,Malaria,False
323,maumivu ya kichwa,Malaria,True
324,maumivu ya kikywa,Malaria,False
325,maumivu ya kishwa,Malaria,False
326,maumivu ya kichw,Malaria,False
327,nausea,Malaria,True
328,nmusea,Malaria,False
329,kichefiefu,Malaria,False
330,chichefuchefu,Malaria,False
331,kichefuchefu,Malaria,True
332,diarrhoea,Malaria,True
333,deearrhoea,Malaria,False
334,kuharisha,Malaria,True
335,kuhareesha,Malaria,False
336,muscle paiein,Malaria,False
337,muscle pain,Malaria,True
338,muscleoscle pain,Malaria,False
339,mooscle pain,Malaria,False
340,muscli pain,Malaria,False
341,maumivu ya misusuli,Malaria,False
342,maumivu ya misasuli,Malaria,False
343,maumivu ya misuliu,Malaria,False
344,maaumivu ya misuli,Malaria,False
345,maumivu ya misuli,Malaria,True
346,cheells,Malaria,False
347,chills,Malaria,True
348,chillls,Malaria,False
349,barydi kali,Malaria,False
350,baridi kali,Malaria,True
351,baeridi kami,Malaria,False
352,vomitting,Malaria,False
353,vomitiing,Malaria,False
354,vomiting,Malaria,True
355,kutapika,Malaria,True
356,high feve,Malaria,False
357,hh fever,Malaria,False
358,high fever,Malaria,True
359,high feber,Malaria,False
360,hoaoma kali,Malaria,False
361,homa ali,Malaria,False
362,homa kali,Malaria,True
363,sweating,Malaria,True
364,seweating,Malaria,False
365,sweatin,Malaria,False
366,kutokwa jasho,Malaria,True
367,nausehusea,Malaria,False
368,nausea,Malaria,True
369,ichefuchefu,Malaria,False
370,kichefuchefu,Malaria,True
371,kichefoochefu,Malaria,False
372,diarrhoaa,Malaria,False
373,diarrhoea,Malaria,True
374,kuharisha,Malaria,True
375,muscle pain,Malaria,True
376,muscle pahin,Malaria,False
377,muscle paain,Malaria,False
378,maumivu ya miswli,Malaria,False
379,maumivu yaa misuli,Malaria,False
380,naumivu ya misuli,Malaria,False
381,maumivu ya misooli,Malaria,False
382,maumivu ya misuli,Malaria,True
383,mawmivu ya misuli,Malaria,False
384,cls,Malaria,False
385,cheells,Malaria,False
386,chills,Malaria,True
387,barydi kalee,Malaria,False
388,barydi kali,Malaria,False
389,baridi kali,Malaria,True
390,barridi kali,Malaria,False
391,vomitihng,Malaria,False
392,fomiting,Malaria,False
393,vomiting,Malaria,True
394,kutaphika,Malaria,False
395,chutapika,Malaria,False
396,kutapika,Malaria,True
397,high fehver,Malaria,False
398,high pever,Malaria,False
399,high fever,Malaria,True
400,high fefer,Malaria,False
401,hohoma kali,Malaria,False
402,homa kali,Malaria,True
403,homa ali,Malaria,False
404,homa kalmli,Malaria,False
405,homa kanali,Malaria,False
406,sweateeng,Malaria,False
407,sweating,Malaria,True
408,sweatin,Malaria,False
409,kutokwa jasho,Malaria,True
410,kutokwuokwa jasho,Malaria,False
411,kotokwa jmsho,Malaria,False
412,kutokwa jaasho,Malaria,False
413,kutokwa jasha,Malaria,False
414,kutoukwa jasho,Malaria,False
415,headache,Malaria,True
416,maumivu ya kychwa,Malaria,False
417,maumivu ya kichwa,Malaria,True
418,mauumivu ya kie,Malaria,False
419,maumivu ya kichwua,Malaria,False
420,maumivu ya ichwa,Malaria,False
421,diarrhoea,Malaria,True
422,duhoea,Malaria,False
423,dirrhoea,Malaria,False
424,kuherisha,Malaria,False
425,kuharisha,Malaria,True
426,muscle pain,Malaria,True
427,musnscle pain,Malaria,False
428,mscle pain,Malaria,False
429,muscle phain,Malaria,False
430,maumivu ya mli,Malaria,False
431,maumevu ya meuli,Malaria,False
432,maumivu ya misululi,Malaria,False
433,maumivu ya misuuli,Malaria,False
434,maumivu ya misuli,Malaria,True
435,mawmivu ya misuli,Malaria,False
436,chill,Malaria,False
437,chills,Malaria,True
438,baridi kali,Malaria,True
439,baridi ka,Malaria,False
440,fomiting,Malaria,False
441,vomiting,Malaria,True
442,vomituting,Malaria,False
443,kutaphika,Malaria,False
444,kutepika,Malaria,False
445,kutapika,Malaria,True
446,high feveriver,Malaria,False
447,high fever,Malaria,True
448,high fiver,Malaria,False
449,houma kali,Malaria,False
450,homa ali,Malaria,False
451,homa kalii,Malaria,False
452,homa kali,Malaria,True
453,sweatingieating,Malaria,False
454,sweating,Malaria,True
455,sweateng,Malaria,False
456,kutokwa jasho,Malaria,True
457,kutookwa jasho,Malaria,False
458,kikwa jasho,Malaria,False
459,kutokwa jsho,Malaria,False
460,kuokwa jasho,Malaria,False
461,kutomwa jasho,Malaria,False
462,heaae,Malaria,False
463,headache,Malaria,True
464,headashe,Malaria,False
465,headaaadache,Malaria,False
466,maumivu ya kichwa,Malaria,True
467,maaumivu ya kichwa,Malaria,False
468,nea,Malaria,False
469,nausea,Malaria,True
470,nnausea,Malaria,False
471,kichevuchefu,Malaria,False
472,kishefuchefu,Malaria,False
473,kichefuchefu,Malaria,True
474,kichafuchefu,Malaria,False
475,muscle pain,Malaria,True
476,munscle pain,Malaria,False
477,mmuscle pain,Malaria,False
478,muscle paen,Malaria,False
479,mmaumivu ya misuli,Malaria,False
480,mauumivu ya misuli,Malaria,False
481,maumivu ya miswli,Malaria,False
482,maume ya misuli,Malaria,False
483,maumivu ya misuli,Malaria,True
484,chils,Typhoid,False
485,chills,Typhoid,True
486,kyills,Typhoid,False
487,beridi cali,Typhoid,False
488,baridi kali,Typhoid,True
489,baridi kalli,Typhoid,False
490,vomitinng,Typhoid,False
491,vomitmiting,Typhoid,False
492,vomiting,Typhoid,True
493,kutaika,Typhoid,False
494,kutapika,Typhoid,True
495,fate,Typhoid,False
496,fatigue,Typhoid,True
497,uchovu,Typhoid,True
498,hih fever,Typhoid,False
499,hig fever,Typhoid,False
500,high fe,Typhoid,False
501,higgh fever,Typhoid,False
502,high fever,Typhoid,True
503,homa cali,Typhoid,False
504,hommma kai,Typhoid,False
505,homa kali,Typhoid,True
506,nausea,Typhoid,True
507,nahsea,Typhoid,False
508,nausiea,Typhoid,False
509,kefuchefu,Typhoid,False
510,cchefuchefu,Typhoid,False
511,kichefuchefu,Typhoid,True
512,kiu,Typhoid,False
513,constipahation,Typhoid,False
514,constipation,Typhoid,True
515,kukosa coo,Typhoid,False
516,kukosa choo,Typhoid,True
517,kukose choo,Typhoid,False
518,kukhosa cheoo,Typhoid,False
519,abdominaleominal pain,Typhoid,False
520,abdominal phain,Typhoid,False
521,abdonal pain,Typhoid,False
522,abdomminal pain,Typhoid,False
523,abdominal pain,Typhoid,True
524,avdominal pa,Typhoid,False
525,maumivu ya tumbo,Typhoid,True
526,mauumivu ya tumao,Typhoid,False
527,maumivu ya dumbo,Typhoid,False
528,maumivu ya tumpo,Typhoid,False
529,diarrhoea,Typhoid,True
530,diarrhoia,Typhoid,False
531,kuuharisha,Typhoid,False
532,kuharisha,Typhoid,True
533,toxic look (phos),Typhoid,False
534,toxic lo (typhos),Typhoid,False
535,toxic look (typhohs),Typhoid,False
536,toxic look (typhos),Typhoid,True
537,toxic looch (typhos),Typhoid,False
538,oxic look (typhos),Typhoid,False
539,taxic look (typhos),Typhoid,False
540,muonemuonekano wa sumu (typhos),Typhoid,False
541,muonekano wa sumu (typhhos),Typhoid,False
542,muonecano wa sume (typhas),Typhoid,False
543,muonekano wa sumu (typhos),Typhoid,True
544,muoniekano wa sunu (typhos),Typhoid,False
545,muonikano wa sumu (yphos),Typhoid,False
546,velly pain,Typhoid,False
547,behy pain,Typhoid,False
548,belly pahn,Typhoid,False
549,belly pain,Typhoid,True
550,mmaumivu ya tumbmo,Typhoid,False
551,maumeevu ya tumbo,Typhoid,False
552,mumivu ye tumbo,Typhoid,False
553,maumivu ya tumbo,Typhoid,True
554,maumivu y tumbo,Typhoid,False
555,chills,Typhoid,True
556,baridi cali,Typhoid,False
557,bharidi kali,Typhoid,False
558,barii kali,Typhoid,False
559,barimi kali,Typhoid,False
560,baridi ki,Typhoid,False
561,baridi kali,Typhoid,True
562,vomiting,Typhoid,True
563,kutaphika,Typhoid,False
564,kutapeka,Typhoid,False
565,kutapika,Typhoid,True
566,fatigue,Typhoid,True
567,fadigue,Typhoid,False
568,uhu,Typhoid,False
569,uchovu,Typhoid,True
570,high pever,Typhoid,False
571,high feveuver,Typhoid,False
572,high fever,Typhoid,True
573,high fefer,Typhoid,False
574,homa kalli,Typhoid,False
575,homa kanli,Typhoid,False
576,homa kli,Typhoid,False
577,homa kali,Typhoid,True
578,hoooma kali,Typhoid,False
579,headache,Typhoid,True
580,maumivu ya kichwhwa,Typhoid,False
581,mmaumivu ya kychwa,Typhoid,False
582,maumivu ya kinichwa,Typhoid,False
583,maumivu ya kichwa,Typhoid,True
584,maumivu y kichwa,Typhoid,False
585,maumyvu ya kichwa,Typhoid,False
586,constipation,Typhoid,True
587,kukosa choouoo,Typhoid,False
588,kukosa choo,Typhoid,True
589,kookosa choo,Typhoid,False
590,cukosa choo,Typhoid,False
591,abdodominal pain,Typhoid,False
592,abdominal pain,Typhoid,True
593,abdominal pan,Typhoid,False
594,maumivu ya tumbo,Typhoid,True
595,maumivhu ya tumbo,Typhoid,False
596,maumivu ya tumba,Typhoid,False
597,dearrhoea,Typhoid,False
598,diarrhoea,Typhoid,True
599,diarrrrhoea,Typhoid,False
600,dhiarrhoea,Typhoid,False
601,kuharisa,Typhoid,False
602,kuharisha,Typhoid,True
603,toxic look (type),Typhoid,False
604,toxic look (typhoos),Typhoid,False
605,toxic look (typhos),Typhoid,True
606,muonekano wa shmu (typhos),Typhoid,False
607,muonyekano wa sumu (typhos),Typhoid,False
608,muonekaiuonekano wa sumu (typhos),Typhoid,False
609,muonekanoo wa sumu (typhos),Typhoid,False
610,muonekno wa sumu (typhos),Typhoid,False
611,muonekano wa sumu (typhos),Typhoid,True
612,belly pain,Typhoid,True
613,meumivu ya twmbo,Typhoid,False
614,maumivu ye dumbo,Typhoid,False
615,maumivhu ya tumbo,Typhoid,False
616,maumivu ya tumbo,Typhoid,True
617,maumivu ya dumbo,Typhoid,False
618,chmls,Typhoid,False
619,chills,Typhoid,True
620,b kali,Typhoid,False
621,bareedi kali,Typhoid,False
622,baridi kali,Typhoid,True
623,barridi kali,Typhoid,False
624,vommiting,Typhoid,False
625,vomiting,Typhoid,True
626,kutpika,Typhoid,False
627,kutapeeka,Typhoid,False
628,kutapika,Typhoid,True
629,fatigutigue,Typhoid,False
630,fatigue,Typhoid,True
631,uchavu,Typhoid,False
632,uchouvu,Typhoid,False
633,uchovu,Typhoid,True
634,hygh fever,Typhoid,False
635,high fever,Typhoid,True
636,hiegh fiever,Typhoid,False
637,hma kali,Typhoid,False
638,homa kaliuli,Typhoid,False
639,homa kali,Typhoid,True
640,hhe,Typhoid,False
641,headache,Typhoid,True
642,heada,Typhoid,False
643,headachdache,Typhoid,False
644,naumivu ya kichwa,Typhoid,False
645,maumivu ya kichwa,Typhoid,True
646,maumivu ya cichwa,Typhoid,False
647,maumivu ya kaichwa,Typhoid,False
648,maumyvu ya kichwa,Typhoid,False
649,nausea,Typhoid,True
650,nausaa,Typhoid,False
651,kichefuchefu,Typhoid,True
652,keechefuchefu,Typhoid,False
653,abdominal pain,Typhoid,True
654,abdomil pain,Typhoid,False
655,abdomynal pain,Typhoid,False
656,maumivu ya tumbo,Typhoid,True
657,maumivhu ya tumbo,Typhoid,False
658,movu ya tumvo,Typhoid,False
659,maumivu ya tbo,Typhoid,False
660,diarrhoea,Typhoid,True
661,diarrhooea,Typhoid,False
662,dierhoea,Typhoid,False
663,diarrhoaa,Typhoid,False
664,dia,Typhoid,False
665,cuharisha,Typhoid,False
666,kuharicha,Typhoid,False
667,kuharisha,Typhoid,True
668,koharisha,Typhoid,False
669,toxinc look (typhos),Typhoid,False
670,toxic look (typhos),Typhoid,True
671,toxyc look (typhos),Typhoid,False
672,toxic looc (typhos),Typhoid,False
673,toxicuic look (typhos),Typhoid,False
674,toxeec loo (typhos),Typhoid,False
675,muoekano wa sumu (typhos),Typhoid,False
676,muonechano wa sumu (typhos),Typhoid,False
677,muoonekano wa sumu (typhos),Typhoid,False
678,muonekno wa sumu (typhos),Typhoid,False
679,muonekano wa sumu (dyphos),Typhoid,False
680,muonekano wa sumu (typhos),Typhoid,True
681,beey pain,Typhoid,False
682,bellyoy pain,Typhoid,False
683,belly panain,Typhoid,False
684,belly pin,Typhoid,False
685,belly pain,Typhoid,True
686,maumivu ya t,Typhoid,False
687,maumibu ya tumbo,Typhoid,False
688,maumivu ya tumbbo,Typhoid,False
689,mbaumivu ya tumbo,Typhoid,False
690,maumivu ya tunbo,Typhoid,False
691,maumivu ya tumbo,Typhoid,True
692,maumivu ya tumbnbo,Typhoid,False
693,cmlls,Typhoid,False
694,chills,Typhoid,True
695,baridi kaali,Typhoid,False
696,bariddi kali,Typhoid,False
697,baridi kali,Typhoid,True
698,fomiting,Typhoid,False
699,vomiting,Typhoid,True
700,kutpika,Typhoid,False
701,kutapika,Typhoid,True
702,fatiue,Typhoid,False
703,fatigue,Typhoid,True
704,fatigooe,Typhoid,False
705,ucuhovu,Typhoid,False
706,uchouvu,Typhoid,False
707,uchovu,Typhoid,True
708,hi fever,Typhoid,False
709,high phever,Typhoid,False
710,high fever,Typhoid,True
711,hegh fever,Typhoid,False
712,homa kale,Typhoid,False
713,houma kali,Typhoid,False
714,hoooma kli,Typhoid,False
715,homa kali,Typhoid,True
716,haadache,Typhoid,False
717,headache,Typhoid,True
718,heaeche,Typhoid,False
719,maumivu ya kichwa,Typhoid,True
720,maumivu ya cichwa,Typhoid,False
721,nnausea,Typhoid,False
722,nausea,Typhoid,True
723,naausea,Typhoid,False
724,kishefuchefu,Typhoid,False
725,kichefuchefu,Typhoid,True
726,kichafuchefu,Typhoid,False
727,kicefuchefu,Typhoid,False
728,cohation,Typhoid,False
729,constiption,Typhoid,False
730,constipatitipation,Typhoid,False
731,constipation,Typhoid,True
732,conson,Typhoid,False
733,kukosa chao,Typhoid,False
734,kukosa choo,Typhoid,True
735,dihoea,Typhoid,False
736,diarrhoea,Typhoid,True
737,dirhoea,Typhoid,False
738,cuharisha,Typhoid,False
739,uharisha,Typhoid,False
740,kuharisha,Typhoid,True
741,toxic loo (typhos),Typhoid,False
742,toxic look (tos),Typhoid,False
743,toxic look (typhos),Typhoid,True
744,muoniekano wa sumu (typhos),Typhoid,False
745,muuonekano we suumu (typhos),Typhoid,False
746,muonekano wa sumu (typhos),Typhoid,True
747,nuonekano wa sumu (typhos),Typhoid,False
748,bellhelly pain,Typhoid,False
749,belly pin,Typhoid,False
750,belly pain,Typhoid,True
751,maumivu ya tumbo,Typhoid,True
752,maumibu ya tumbo,Typhoid,False
753,maumivu ya tumpo,Typhoid,False
754,maumeevu ya tunbo,Typhoid,False
755,chells,Typhoid,False
756,chills,Typhoid,True
757,baaridi kali,Typhoid,False
758,baredi kali,Typhoid,False
759,baridi kalali,Typhoid,False
760,bari kali,Typhoid,False
761,baridi kali,Typhoid,True
762,vomimiting,Typhoid,False
763,vhomiting,Typhoid,False
764,vomiting,Typhoid,True
765,kuthapika,Typhoid,False
766,kutabika,Typhoid,False
767,kutapika,Typhoid,True
768,fatigue,Typhoid,True
769,ushovu,Typhoid,False
770,uchohhovu,Typhoid,False
771,uchovu,Typhoid,True
772,hig fever,Typhoid,False
773,higngh fever,Typhoid,False
774,heegh fever,Typhoid,False
775,high fever,Typhoid,True
776,hi fever,Typhoid,False
777,homa khli,Typhoid,False
778,homa kli,Typhoid,False
779,homa chali,Typhoid,False
780,homa kali,Typhoid,True
781,headae,Typhoid,False
782,headache,Typhoid,True
783,maoomivu ya kichwa,Typhoid,False
784,mumivu ya kichwa,Typhoid,False
785,maumivu ya kichwa,Typhoid,True
786,maumivu ya k,Typhoid,False
787,nausea,Typhoid,True
788,kichevuchefu,Typhoid,False
789,ichefuchefu,Typhoid,False
790,kichefuchefu,Typhoid,True
791,kechefuchefu,Typhoid,False
792,constipatpation,Typhoid,False
793,constipation,Typhoid,True
794,kukosa choo,Typhoid,True
795,kukososa choo,Typhoid,False
796,kukosa co,Typhoid,False
797,kkosa choo,Typhoid,False
798,abdominal pin,Typhoid,False
799,abdominal pain,Typhoid,True
800,abdomimnal pain,Typhoid,False
801,abominal pain,Typhoid,False
802,maumivu ya tumbo,Typhoid,True
803,mumivu ya tumbo,Typhoid,False
804,maumeevu ya tumbo,Typhoid,False
805,maumivu ya tum,Typhoid,False
806,toxeec look (typhos),Typhoid,False
807,thoxic look (typhos),Typhoid,False
808,touxic looc (typhos),Typhoid,False
809,toxic look (typhos),Typhoid,True
810,muonekano wa sumu (typhas),Typhoid,False
811,muonekano wa summu (typhos),Typhoid,False
812,muonekano wa sumu (typhos),Typhoid,True
813,mbuonekano wa sumu (typhos),Typhoid,False
814,b pain,Typhoid,False
815,pelly pain,Typhoid,False
816,belly paeen,Typhoid,False
817,belly pain,Typhoid,True
818,maumivu ya tumbo,Typhoid,True
819,maumivu ya tumo,Typhoid,False
820,maumivu ya toombo,Typhoid,False
821,mauu ya tuumbo,Typhoid,False
822,chimills,Typhoid,False
823,choills,Typhoid,False
824,chills,Typhoid,True
825,cls,Typhoid,False
826,chillls,Typhoid,False
827,baeridi kali,Typhoid,False
828,baridi kali,Typhoid,True
829,vomiteing,Typhoid,False
830,vomiting,Typhoid,True
831,kutapeka,Typhoid,False
832,kutepika,Typhoid,False
833,kutapika,Typhoid,True
834,kuutapika,Typhoid,False
835,fateegue,Typhoid,False
836,fatigwe,Typhoid,False
837,fatigue,Typhoid,True
838,uchobu,Typhoid,False
839,uchovu,Typhoid,True
840,hgh fever,Typhoid,False
841,hiogh fever,Typhoid,False
842,high fever,Typhoid,True
843,hona kali,Typhoid,False
844,homa ali,Typhoid,False
845,homa kali,Typhoid,True
846,homa kale,Typhoid,False
847,headache,Typhoid,True
848,maumivu ye kichwechwa,Typhoid,False
